date_time,load
2025-03-02 09:30:00,16657.5806152344
2025-03-02 09:45:00,16666.1830403646
2025-03-02 10:00:00,16471.5646240234
2025-03-02 10:15:00,16548.5235595703
2025-03-02 10:30:00,16627.6787434896
2025-03-02 10:45:00,16647.4509440104
2025-03-02 11:00:00,16285.8956298828
2025-03-02 11:15:00,16314.1147867839
2025-03-02 11:30:00,16374.6897135417
2025-03-02 11:45:00,16501.0343912761
2025-03-02 12:00:00,16079.8735921224
2025-03-02 12:15:00,16172.9801269531
2025-03-02 12:30:00,16222.0591878255
2025-03-02 12:45:00,16251.1678548177
2025-03-02 13:00:00,16106.6576253255
2025-03-02 13:15:00,16033.1209716797
2025-03-02 13:30:00,16148.7219482422
2025-03-02 13:45:00,16076.6316650391
2025-03-02 14:00:00,15843.0831624349
2025-03-02 14:15:00,15781.0432861328
2025-03-02 14:30:00,15790.0905680339
2025-03-02 14:45:00,15805.0342610677
2025-03-02 15:00:00,15717.4639973958
2025-03-02 15:15:00,15798.5877929688
2025-03-02 15:30:00,15862.3454101563
2025-03-02 15:45:00,15678.3380940755
2025-03-02 16:00:00,15222.8201497396
2025-03-02 16:15:00,14778.5446940104
2025-03-02 16:30:00,14370.8883219401
2025-03-02 16:45:00,13824.1831298828
2025-03-02 17:00:00,13442.8730143229
2025-03-02 17:15:00,13176.8955729167
2025-03-02 17:30:00,13111.4293457031
2025-03-02 17:45:00,13001.5601969401
2025-03-02 18:00:00,11655.0180094401
2025-03-02 18:15:00,10457.3406575521
2025-03-02 18:30:00,10557.4795735677
2025-03-02 18:45:00,10813.3690836588
2025-03-02 19:00:00,10892.675398763
2025-03-02 19:15:00,10827.4651611328
2025-03-02 19:30:00,10727.7166422526
2025-03-02 19:45:00,10748.9161946615
2025-03-02 20:00:00,10800.7692382813
2025-03-02 20:15:00,10725.3457926432
2025-03-02 20:30:00,10584.0759440104
2025-03-02 20:45:00,10499.0186442057
2025-03-02 21:00:00,10731.0994547526
2025-03-02 21:15:00,11269.2382975261
2025-03-02 21:30:00,11218.5802897135
2025-03-02 21:45:00,11074.0420654297
2025-03-02 22:00:00,11459.7384602865
2025-03-02 22:15:00,12106.4702311198
2025-03-02 22:30:00,11984.8708984375
2025-03-02 22:45:00,11784.2212972005
2025-03-02 23:00:00,11759.82890625
2025-03-02 23:15:00,11632.8413004558
2025-03-02 23:30:00,11494.575764974
2025-03-02 23:45:00,11370.2693929037
2025-03-03 00:00:00,11381.5302001953
2025-03-03 00:15:00,11883.8445800781
2025-03-03 00:30:00,11798.9755452474
2025-03-03 00:45:00,11697.4520263672
2025-03-03 01:00:00,11459.7140950521
2025-03-03 01:15:00,11256.8662679037
2025-03-03 01:30:00,11151.7116536458
2025-03-03 01:45:00,11110.7359863281
2025-03-03 02:00:00,10925.7508138021
2025-03-03 02:15:00,11056.4854736328
2025-03-03 02:30:00,11013.5212809245
2025-03-03 02:45:00,11003.7596191406
2025-03-03 03:00:00,10750.1474609375
2025-03-03 03:15:00,11140.7519042969
