hour,day_of_week,day_of_month,month,hour_sin,hour_cos,day_sin,day_cos,load_lag_1h,load_lag_24h,rolling_mean_3h,rolling_mean_6h
0.0,1.0,0.0,0.0,0.5,1.0,0.0990311320975808,0.8019377358048383,0.2319715052950888,0.1974937799849576,0.2488935863381505,0.1959699341430323
0.0,1.0,0.0,0.0,0.5,1.0,0.0990311320975808,0.8019377358048383,0.2187380964819762,0.2447773184895554,0.2517399209836499,0.1987655782812347
0.0,1.0,0.0,0.0,0.5,1.0,0.0990311320975808,0.8019377358048383,0.2756510349933851,0.2407114951788576,0.2546518106929039,0.20033997178425
0.0,1.0,0.0,0.0,0.5,1.0,0.0990311320975808,0.8019377358048383,0.2657618437178919,0.230961377842741,0.2592957419203334,0.2009781162242574
0.0434782608695652,1.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.0990311320975808,0.8019377358048383,0.2608328313285795,0.2021376274772153,0.2558714125283909,0.201369849378868
0.0434782608695652,1.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.0990311320975808,0.8019377358048383,0.2394995474197068,0.1841789234031083,0.2459331598355398,0.201203269097008
0.0434782608695652,1.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.0990311320975808,0.8019377358048383,0.2139368917201591,0.1689413230109011,0.2366162822493587,0.2012769068434845
0.0434782608695652,1.0,0.0,0.0,0.6294095225512604,0.9829629131445342,0.0990311320975808,0.8019377358048383,0.2025221918347501,0.1519490941280261,0.2290280016731121,0.2013871646425002
0.0869565217391304,1.0,0.0,0.0,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383,0.1961277659744618,0.1339492556143351,0.2196942857929995,0.2006789678639986
0.0869565217391304,1.0,0.0,0.0,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383,0.1737657217943808,0.1467543322520463,0.2122152281238016,0.2008389430098272
0.0869565217391304,1.0,0.0,0.0,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383,0.1841199086726801,0.1407772043082271,0.2056106849376806,0.20182940893265
0.0869565217391304,1.0,0.0,0.0,0.75,0.9330127018922194,0.0990311320975808,0.8019377358048383,0.1751912860421385,0.1292480093069477,0.1999889533123424,0.2034456204333379
0.1304347826086956,1.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.0990311320975808,0.8019377358048383,0.1680565605233497,0.1076628154744934,0.1953563687002946,0.2017212336865199
0.1304347826086956,1.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.0990311320975808,0.8019377358048383,0.1660690241458107,0.148824951103343,0.1864101980914607,0.1984774542419667
0.1304347826086956,1.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.0990311320975808,0.8019377358048383,0.173939669441002,0.1563696070921503,0.1790042425156242,0.1960875935033965
0.1304347826086956,1.0,0.0,0.0,0.8535533905932737,0.8535533905932737,0.0990311320975808,0.8019377358048383,0.1815615877899763,0.1627795297681897,0.1725681981214322,0.1951345810146019
0.1739130434782608,1.0,0.0,0.0,0.9330127018922192,0.75,0.0990311320975808,0.8019377358048383,0.1876597506092561,0.1952773529611549,0.1712196206726948,0.1925964378262223
0.1739130434782608,1.0,0.0,0.0,0.9330127018922192,0.75,0.0990311320975808,0.8019377358048383,0.224167215871188,0.2341337878820484,0.1761931258266704,0.1899562773184966
0.1739130434782608,1.0,0.0,0.0,0.9330127018922192,0.75,0.0990311320975808,0.8019377358048383,0.2704819793237003,0.2475323488771432,0.1828492769747833,0.1885413524288326
0.1739130434782608,1.0,0.0,0.0,0.9330127018922192,0.75,0.0990311320975808,0.8019377358048383,0.2781977241042912,0.2623368012905305,0.1904415102572763,0.1885434544045827
0.217391304347826,1.0,0.0,0.0,0.9829629131445342,0.6294095225512604,0.0990311320975808,0.8019377358048383,0.282445862120771,0.2661177650370008,0.2004581598056416,0.1889066258420424
0.217391304347826,1.0,0.0,0.0,0.9829629131445342,0.6294095225512604,0.0990311320975808,0.8019377358048383,0.2876476438335016,0.2886831881305665,0.2107772417885132,0.1904168980110154
0.217391304347826,1.0,0.0,0.0,0.9829629131445342,0.6294095225512604,0.0990311320975808,0.8019377358048383,0.3014402645675755,0.321090753058401,0.2232893944224583,0.1935584549657423
0.217391304347826,1.0,0.0,0.0,0.9829629131445342,0.6294095225512604,0.0990311320975808,0.8019377358048383,0.3174452387156767,0.3573466315798066,0.2380319886056252,0.1984087602296089
0.2608695652173913,1.0,0.0,0.0,1.0,0.5,0.0990311320975808,0.8019377358048383,0.3356689895411733,0.3109758822985977,0.2481269909656767,0.2013135725089954
0.2608695652173913,1.0,0.0,0.0,1.0,0.5,0.0990311320975808,0.8019377358048383,0.2808417598995287,0.3711586113551346,0.2597953281598948,0.2027611701275868
0.2608695652173913,1.0,0.0,0.0,1.0,0.5,0.0990311320975808,0.8019377358048383,0.3066000625457004,0.4303517839370663,0.2752525279026512,0.2070426722021867
0.2608695652173913,1.0,0.0,0.0,1.0,0.5,0.0990311320975808,0.8019377358048383,0.3572985552807655,0.496820558850112,0.2938187000119963,0.2134932487715799
0.3043478260869565,1.0,0.0,0.0,0.9829629131445342,0.3705904774487397,0.0990311320975808,0.8019377358048383,0.3987434422680549,0.5626105591407515,0.3124364148852476,0.2226766552335775
0.3043478260869565,1.0,0.0,0.0,0.9829629131445342,0.3705904774487397,0.0990311320975808,0.8019377358048383,0.4358369107631472,0.6005201879419226,0.3317062376231179,0.2355688066218844
